area,avg_circuity,avg_edge_length,avg_street_length,edge_count,edge_density_km,geoid,k_0_count,k_0_proportion,k_10_count,k_10_proportion,k_11_count,k_11_proportion,k_12_count,k_12_proportion,k_13_count,k_13_proportion,k_14_count,k_14_proportion,k_15_count,k_15_proportion,k_16_count,k_16_proportion,k_17_count,k_17_proportion,k_18_count,k_18_proportion,k_19_count,k_19_proportion,k_1_count,k_1_proportion,k_20_count,k_20_proportion,k_21_count,k_21_proportion,k_22_count,k_22_proportion,k_23_count,k_23_proportion,k_24_count,k_24_proportion,k_25_count,k_25_proportion,k_26_count,k_26_proportion,k_27_count,k_27_proportion,k_28_count,k_28_proportion,k_29_count,k_29_proportion,k_2_count,k_2_proportion,k_30_count,k_30_proportion,k_31_count,k_31_proportion,k_32_count,k_32_proportion,k_33_count,k_33_proportion,k_34_count,k_34_proportion,k_35_count,k_35_proportion,k_36_count,k_36_proportion,k_37_count,k_37_proportion,k_38_count,k_38_proportion,k_39_count,k_39_proportion,k_3_count,k_3_proportion,k_40_count,k_40_proportion,k_41_count,k_41_proportion,k_42_count,k_42_proportion,k_43_count,k_43_proportion,k_44_count,k_44_proportion,k_45_count,k_45_proportion,k_46_count,k_46_proportion,k_47_count,k_47_proportion,k_48_count,k_48_proportion,k_49_count,k_49_proportion,k_4_count,k_4_proportion,k_50_count,k_50_proportion,k_51_count,k_51_proportion,k_52_count,k_52_proportion,k_53_count,k_53_proportion,k_54_count,k_54_proportion,k_55_count,k_55_proportion,k_56_count,k_56_proportion,k_57_count,k_57_proportion,k_58_count,k_58_proportion,k_59_count,k_59_proportion,k_5_count,k_5_proportion,k_60_count,k_60_proportion,k_61_count,k_61_proportion,k_62_count,k_62_proportion,k_63_count,k_63_proportion,k_64_count,k_64_proportion,k_65_count,k_65_proportion,k_66_count,k_66_proportion,k_67_count,k_67_proportion,k_68_count,k_68_proportion,k_69_count,k_69_proportion,k_6_count,k_6_proportion,k_70_count,k_70_proportion,k_7_count,k_7_proportion,k_8_count,k_8_proportion,k_9_count,k_9_proportion,k_avg,k_counts,k_proportion,name,node_count,node_density_km,self_loop_proportion,time,total_edge_length,total_street_length
327610734,1.118078634663746,85.6573402041891,85.6573402041891,69159,18082.362317168503,86464,0,0.0,,,,,,,,,,,,,,,,,,,,,6808,0.23657782256663307,,,,,,,,,,,,,,,,,,,,,245,0.008513743614692289,,,,,,,,,,,,,,,,,,,,,18740,0.6512145115891164,,,,,,,,,,,,,,,,,,,,,2627,0.09128818153386385,,,,,,,,,,,,,,,,,,,,,336,0.011675991243006568,,,,,,,,,,,,,,,,,,,,,21.0,0.0007297494526879105,,,,,,,,,2.6351600236299824,"{0: 0, 1: 6808, 2: 245, 3: 18740, 4: 2627, 5: 336, 6: 21}","{0: 0.0, 1: 0.23657782256663307, 2: 0.008513743614692289, 3: 0.6512145115891164, 4: 0.09128818153386385, 5: 0.011675991243006568, 6: 0.0007297494526879105}","Tallahassee, FL Urbanized Area",28777,87.83900224709976,0.007851472693358782,11.64873218536377,5923975.991181514,3254638.7628427995
326962533,1.1190598480801657,181.94064181728277,181.94064181728277,17702,9850.404607213939,32194,0,0.0,,,,,,,,,,,,,,,,,,,,,2101,0.27761627906976744,,,,,,,,,,,,,,,,,,,,,55,0.007267441860465116,,,,,,,,,,,,,,,,,,,,,4571,0.6039904862579282,,,,,,,,,,,,,,,,,,,,,736,0.09725158562367865,,,,,,,,,,,,,,,,,,,,,97,0.012817124735729386,,,,,,,,,,,,,,,,,,,,,6.0,0.0007928118393234672,,,0.0,0.0,1.0,0.0001321353065539112,1.0,0.0001321353065539112,2.5642177589852007,"{0: 0, 1: 2101, 2: 55, 3: 4571, 4: 736, 5: 97, 6: 6, 7: 0, 8: 1, 9: 1}","{0: 0.0, 1: 0.27761627906976744, 2: 0.007267441860465116, 3: 0.6039904862579282, 4: 0.09725158562367865, 5: 0.012817124735729386, 6: 0.0007928118393234672, 7: 0.0, 8: 0.0001321353065539112, 9: 0.0001321353065539112}","Gainesville, GA Urbanized Area",7568,23.1463829526914,0.01101570444017625,3.3971407413482666,3220713.2414495395,1722593.5072619817
325839967,1.061648642439224,132.46658553733855,132.46658553733855,38698,15732.238050232576,03898,0,0.0,,,,,,,,,,,,,,,,,,,,,2319,0.1617831728756802,,,,,,,,,,,,,,,,,,,,,67,0.004674201199944189,,,,,,,,,,,,,,,,,,,,,7719,0.538509836751779,,,,,,,,,,,,,,,,,,,,,4013,0.27996372261755265,,,,,,,,,,,,,,,,,,,,,208,0.014510952978931213,,,,,,,,,,,,,,,,,,,,,6.0,0.0004185851820845542,,,1.0,6.976419701409237e-05,1.0,6.976419701409237e-05,,,2.982628714943491,"{0: 0, 1: 2319, 2: 67, 3: 7719, 4: 4013, 5: 208, 6: 6, 7: 1, 8: 1}","{0: 0.0, 1: 0.1617831728756802, 2: 0.004674201199944189, 3: 0.538509836751779, 4: 0.27996372261755265, 5: 0.014510952978931213, 6: 0.0004185851820845542, 7: 6.976419701409237e-05, 8: 6.976419701409237e-05}","Atlantic City, NJ Urbanized Area",14334,43.99092024214451,0.008682619256809137,6.776755094528198,5126191.927123927,2784416.2239547255
321517730,1.0911259781498577,132.2282041192963,132.2282041192963,43730,17984.511666391852,75421,0,0.0,,,,,,,,,,,,,,,,,,,,,4570,0.26047306925049873,,,,,,,,,,,,,,,,,,,,,57,0.0032487888287261327,,,,,,,,,,,,,,,,,,,,,9853,0.5615844970076945,,,,,,,,,,,,,,,,,,,,,2819,0.16067255628384156,,,,,,,,,,,,,,,,,,,,,237,0.013508121972071815,,,,,,,,,,,,,,,,,,,,,9.0,0.0005129666571672841,,,,,,,,,2.6650327728697634,"{0: 0, 1: 4570, 2: 57, 3: 9853, 4: 2819, 5: 237, 6: 9}","{0: 0.0, 1: 0.26047306925049873, 2: 0.0032487888287261327, 3: 0.5615844970076945, 4: 0.16067255628384156, 5: 0.013508121972071815, 6: 0.0005129666571672841}","Roanoke, VA Urbanized Area",17545,54.56930788855719,0.009398582209009833,8.852242946624756,5782339.366136827,3110539.9888794622
312424830,1.100673356373942,147.23154312835814,147.23154312835814,29932,14105.583570031922,31060,0,0.0,,,,,,,,,,,,,,,,,,,,,3080,0.25316455696202533,,,,,,,,,,,,,,,,,,,,,42,0.0034522439585730723,,,,,,,,,,,,,,,,,,,,,7175,0.5897583429228999,,,,,,,,,,,,,,,,,,,,,1614,0.1326648035508795,,,,,,,,,,,,,,,,,,,,,247,0.020302482327798785,,,,,,,,,,,,,,,,,,,,,7.0,0.0005753739930955121,,,1.0,8.21962847279303e-05,,,,,2.6655433174420518,"{0: 0, 1: 3080, 2: 42, 3: 7175, 4: 1614, 5: 247, 6: 7, 7: 1}","{0: 0.0, 1: 0.25316455696202533, 2: 0.0034522439585730723, 3: 0.5897583429228999, 4: 0.1326648035508795, 5: 0.020302482327798785, 6: 0.0005753739930955121, 7: 8.21962847279303e-05}","Fort Walton Beach--Navarre--Wright, FL Urbanized Area",12166,38.940566919729136,0.015034077241747962,5.240818500518799,4406934.548918016,2405218.643072171
311511151,1.0635401938385511,153.2439721555546,153.2439721555546,31025,15262.35648664173,20287,0,0.0,,,,,,,,,,,,,,,,,,,,,1561,0.13468507333908541,,,,,,,,,,,,,,,,,,,,,22,0.0018981880931837791,,,,,,,,,,,,,,,,,,,,,7805,0.6734253666954271,,,,,,,,,,,,,,,,,,,,,2135,0.18421052631578946,,,,,,,,,,,,,,,,,,,,,65,0.0056082830025884385,,,,,,,,,,,,,,,,,,,,,1.0,8.628127696289905e-05,,,0.0,0.0,1.0,8.628127696289905e-05,,,2.924849007765315,"{0: 0, 1: 1561, 2: 22, 3: 7805, 4: 2135, 5: 65, 6: 1, 7: 0, 8: 1}","{0: 0.0, 1: 0.13468507333908541, 2: 0.0018981880931837791, 3: 0.6734253666954271, 4: 0.18421052631578946, 5: 0.0056082830025884385, 6: 8.628127696289905e-05, 7: 0.0, 8: 8.628127696289905e-05}","Corpus Christi, TX Urbanized Area",11590,37.20573071876968,0.002030620467365028,4.744686126708984,4754394.236126081,2644128.537279957
309049826,1.0707520473996164,167.49015075072526,167.49015075072526,39904,21626.04995466634,63838,0,0.0,,,,,,,,,,,,,,,,,,,,,1511,0.10704923839886646,,,,,,,,,,,,,,,,,,,,,2,0.00014169323414806942,,,,,,,,,,,,,,,,,,,,,9915,0.7024442082890542,,,,,,,,,,,,,,,,,,,,,2295,0.16259298618490967,,,,,,,,,,,,,,,,,,,,,390,0.02763018065887354,,,,,,,,,,,,,,,,,,,,,2.0,0.00014169323414806942,,,,,,,,,3.00403825717322,"{0: 0, 1: 1511, 2: 2, 3: 9915, 4: 2295, 5: 390, 6: 2}","{0: 0.0, 1: 0.10704923839886646, 2: 0.00014169323414806942, 3: 0.7024442082890542, 4: 0.16259298618490967, 5: 0.02763018065887354, 6: 0.00014169323414806942}","North Port--Port Charlotte, FL Urbanized Area",14115,45.67224703760228,0.018569566960705695,6.372051954269409,6683526.975556941,3502740.7686423035
307696854,1.072758026229264,149.12460040774022,149.12460040774022,29744,14415.363878006452,28333,0,0.0,,,,,,,,,,,,,,,,,,,,,2390,0.21133610398797417,,,,,,,,,,,,,,,,,,,,,26,0.0022990538509152004,,,,,,,,,,,,,,,,,,,,,6568,0.5807763728004245,,,,,,,,,,,,,,,,,,,,,2216,0.19595012821646476,,,,,,,,,,,,,,,,,,,,,106,0.009373065699885047,,,,,,,,,,,,,,,,,,,,,3.0,0.0002652754443363693,,,,,,,,,2.7905208241223804,"{0: 0, 1: 2390, 2: 26, 3: 6568, 4: 2216, 5: 106, 6: 3}","{0: 0.0, 1: 0.21133610398797417, 2: 0.0022990538509152004, 3: 0.5807763728004245, 4: 0.19595012821646476, 5: 0.009373065699885047, 6: 0.0002652754443363693}","Evansville, IN--KY Urbanized Area",11309,36.75370694560303,0.005849919311457773,5.190990686416626,4435562.114527825,2396780.6481469246
299198918,1.065389057288027,156.1905134968508,156.1905134968508,26991,14090.08487722372,47611,1,9.440196356084207e-05,,,,,,,,,,,,,,,,,,,,,2674,0.2524308505616917,,,,,,,,,,,,,,,,,,,,,45,0.004248088360237893,,,,,,,,,,,,,,,,,,,,,6606,0.6236193712829227,,,,,,,,,,,,,,,,,,,,,1235,0.11658642499763995,,,,,,,,,,,,,,,,,,,,,32,0.0030208628339469462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61323515529123,"{0: 1, 1: 2674, 2: 45, 3: 6606, 4: 1235, 5: 32}","{0: 9.440196356084207e-05, 1: 0.2524308505616917, 2: 0.004248088360237893, 3: 0.6236193712829227, 4: 0.11658642499763995, 5: 0.0030208628339469462}","Lancaster--Palmdale, CA Urbanized Area",10593,35.40453979850288,0.0016301730206365085,4.0130133628845215,4215738.1497935,2153839.897780116
298004367,1.0682357457489,166.91711940195205,166.91711940195205,24155,13529.610521291965,84024,0,0.0,,,,,,,,,,,,,,,,,,,,,1639,0.18116502708080026,,,,,,,,,,,,,,,,,,,,,9,0.0009948049077042114,,,,,,,,,,,,,,,,,,,,,5593,0.6182159831988504,,,,,,,,,,,,,,,,,,,,,1726,0.19078147452194097,,,,,,,,,,,,,,,,,,,,,77,0.008511108654802696,,,,,,,,,,,,,,,,,,,,,3.0,0.0003316016359014038,,,,,,,,,2.845473637669946,"{0: 0, 1: 1639, 2: 9, 3: 5593, 4: 1726, 5: 77, 6: 3}","{0: 0.0, 1: 0.18116502708080026, 2: 0.0009948049077042114, 3: 0.6182159831988504, 4: 0.19078147452194097, 5: 0.008511108654802696, 6: 0.0003316016359014038}","Spring Hill, FL Urbanized Area",9047,30.35861551653033,0.004967915545435728,3.7744624614715576,4031883.019154152,2134272.336406667
