,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,betweenness_centrality_avg,center,circuity_avg,closeness_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,count_intersections,degree_centrality_avg,diameter,edge_connectivity,edge_density_km,edge_length_avg,edge_length_total,intersection_density_km,k_avg,m,n,node_connectivity,node_connectivity_avg,node_density_km,pagerank_max,pagerank_max_node,pagerank_min,pagerank_min_node,periphery,radius,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg
North Beach,1.762,2.78,0.034,0.062,[65296797],1.043,0.001,0.049,0.009,108.0,0.04,2726.698,1.0,20244.963,112.559,35681.198,61.278,4.992,317.0,127.0,1.0,1.534,72.058,0.017,1417635713,0.002,612025486,[434685829],1546.785,0.006,12100.249,112.244,21326.361,190.0,3.213
Ocean View,3.418,2.969,0.031,0.037,[65335441],1.03,0.001,0.04,0.006,262.0,0.018,4125.91,1.0,28625.171,121.855,97849.841,76.646,5.389,803.0,298.0,1.0,1.721,87.177,0.008,65305922,0.001,761839139,[65353235],1956.406,0.005,15614.264,121.031,53374.468,441.0,3.221
Outer Mission,3.517,2.766,0.038,0.031,[65334887],1.017,0.001,0.054,0.005,362.0,0.012,4285.607,1.0,28500.374,96.564,100233.014,102.932,5.063,1038.0,410.0,1.0,1.625,116.58,0.006,65321715,0.0,65334688,[65292181],2168.149,0.0,17112.414,100.472,60182.679,599.0,3.161
Outer Richmond,3.65,3.334,0.032,0.051,[65308549],1.003,0.001,0.018,0.002,232.0,0.027,4445.606,1.0,26937.138,127.68,98313.964,63.566,6.471,770.0,238.0,1.0,2.771,65.21,0.007,65307165,0.001,65342696,[65287418],2240.651,0.0,14219.211,123.858,51896.642,419.0,3.739
Outer Sunset,6.364,3.587,0.03,0.041,[65288315],1.001,0.001,0.017,0.005,336.0,0.021,4699.386,1.0,26408.143,141.461,168055.876,52.799,7.071,1188.0,336.0,1.0,3.167,52.799,0.006,65310631,0.0,420508886,[65336440],2453.804,0.0,13720.939,142.442,87317.172,613.0,3.89
Pacific Heights,1.787,3.227,0.033,0.051,[65337437],1.004,0.001,0.013,0.004,134.0,0.045,2768.814,1.0,28179.034,115.772,50361.006,74.978,6.214,435.0,140.0,1.0,2.502,78.336,0.011,65299405,0.001,258758545,[65295379],1426.628,0.0,15066.786,114.098,26927.059,236.0,3.714
Parkside,4.027,3.29,0.033,0.059,[65328485],1.005,0.001,0.021,0.005,229.0,0.026,4339.032,1.0,24760.327,131.728,99718.131,56.861,6.308,757.0,240.0,1.0,2.527,59.593,0.008,65295120,0.001,313867819,[307636629],2170.807,0.001,13265.358,132.238,53424.04,404.0,3.663
Potrero Hill,3.725,3.003,0.033,0.033,[65324632],1.017,0.001,0.029,0.002,239.0,0.02,4942.825,1.0,24943.58,123.05,92902.863,64.169,5.511,755.0,274.0,1.0,1.926,73.567,0.008,65313516,0.001,65283592,[65281639],2590.124,0.0,14525.096,128.197,54099.01,422.0,3.245
Presidio Heights,1.259,2.955,0.034,0.054,[65307471],1.019,0.001,0.069,0.003,99.0,0.052,2360.471,1.0,27495.261,117.73,34612.677,78.643,5.495,294.0,107.0,1.0,1.785,84.998,0.021,65315440,0.001,1148372833,[4022986181],1195.651,0.007,14601.674,114.171,18381.459,161.0,3.383
Russian Hill,1.281,3.199,0.047,0.048,[65336088],1.012,0.001,0.055,0.013,124.0,0.037,1966.934,1.0,28962.787,90.059,37104.43,96.791,5.53,412.0,149.0,1.0,1.838,116.306,0.015,65299389,0.001,612767847,[612767847],1144.73,0.0,15314.142,89.996,19619.056,218.0,3.208
Seacliff,1.871,2.643,0.036,0.045,[65354844],1.068,0.001,0.094,0.011,43.0,0.097,1189.986,1.0,6977.954,109.705,13054.839,22.984,4.76,119.0,50.0,1.0,0.949,26.726,0.045,286094526,0.003,65331035,[65295497],627.419,0.0,3829.496,111.945,7164.486,64.0,3.06
South Of Market,5.68,2.357,0.03,0.029,[65281916],1.031,0.001,0.05,0.003,383.0,0.01,5084.571,1.0,20690.222,126.784,117528.445,67.425,4.393,927.0,422.0,1.0,1.383,74.291,0.01,-2147483648,0.0,1985091613,[1723738852],2467.583,0.002,14868.073,133.002,84456.393,635.0,3.201
Twin Peaks,1.756,2.298,0.032,0.071,[65326861],1.171,0.001,0.097,0.006,108.0,0.031,5571.886,1.0,23424.671,151.191,41123.98,61.518,4.09,272.0,133.0,1.0,1.049,75.758,0.017,65297340,0.001,65346854,[1501430220],2319.042,0.004,13267.016,143.774,23291.363,162.0,2.797
Visitacion Valley,3.532,2.915,0.04,0.037,[65308085],1.042,0.001,0.038,0.004,219.0,0.02,3105.138,1.0,21007.175,106.915,74199.334,62.003,5.278,694.0,263.0,1.0,1.498,74.46,0.011,65305283,0.001,65424443,[259139932],1885.612,0.003,11467.116,106.868,40502.942,379.0,3.038
West Of Twin Peaks,4.869,2.847,0.043,0.029,[65327086],1.059,0.001,0.076,0.007,483.0,0.01,5038.53,1.0,30471.486,107.66,148354.824,99.206,5.29,1378.0,521.0,1.0,1.915,107.011,0.006,65352605,0.0,-2147483648,[1711296502],2522.536,0.004,17027.094,105.202,82898.864,788.0,3.182
Western Addition,3.903,2.747,0.038,0.03,[65365176],1.007,0.001,0.036,0.007,401.0,0.013,3887.66,1.0,27271.866,97.822,106430.335,102.753,5.231,1088.0,416.0,1.0,1.996,106.596,0.007,65319004,0.0,-2147483648,[4014218767],1974.813,0.0,17582.227,97.743,68615.854,702.0,3.594
