,Bayview,Bernal Heights,Castro-Upper Market,Chinatown,Crocker Amazon,Diamond Heights,Downtown,Excelsior,Financial District,Glen Park,Haight-Ashbury,Inner Richmond,Inner Sunset,Lakeshore,Marina,Mission,Nob Hill,Noe Valley,North Beach,Ocean View,Outer Mission,Outer Richmond,Outer Sunset,Pacific Heights,Parkside,Potrero Hill,Presidio Heights,Russian Hill,Seacliff,South Of Market,Twin Peaks,Visitacion Valley,West Of Twin Peaks,Western Addition
pagerank_max,0.004,0.008,0.008,0.03,0.017,0.107,0.014,0.006,0.02,0.02,0.012,0.006,0.01,0.007,0.008,0.006,0.019,0.01,0.012,0.008,0.005,0.007,0.006,0.011,0.008,0.008,0.02,0.012,0.035,0.005,0.013,0.009,0.005,0.006
pagerank_max_node,65280184,65335166,65312208,65327522,65290112,469718220,65354417,1386857093,-2147483648,65284433,65337066,65289335,65304911,388004321,1088101334,65314348,65295340,65296374,65303244,65305922,65321715,65307165,65310631,65299405,65295120,65332772,65315440,65299389,65354824,65288754,65297340,65305283,65305619,65319004
pagerank_min,0.0,0.0,0.001,0.001,0.002,0.005,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.004,0.0,0.001,0.0,0.0,0.0
pagerank_min_node,259408082,-2147483648,-2147483648,65290756,318783030,1614214693,1723739150,259407001,890045127,65335105,65310412,65376324,-2147483648,65282120,-2147483648,65284015,65354437,65304127,-2147483648,65284828,1711296682,315367847,420508886,258758545,313867819,65283592,1148372833,612767847,65296636,1985091613,65311818,65284149,-2147483648,-2147483648
periphery,[662020555],[4066142106],[581074075],[65316880],[65350943],[1614214705],[4061762662],[65310255],[1377436538],[65299521],[65321830],[1837716852],[258757442],[4070801204],[65283151],[775298151],[65334023],[1472038613],[434685829],[65353235],[65292181],[65287418],[65336440],[3972267745],[307636629],[65281639],[65315754],[612767847],[315357628],[1723738852],[2714986595],[4295112711],[1711315334],[4014218767]
radius,3238.145,1954.814,1384.393,790.503,1179.792,453.874,1440.055,2348.667,1170.525,1272.663,1590.671,2020.285,2364.927,4094.192,1815.186,2086.162,985.272,1486.792,1642.694,1966.039,2168.149,2240.651,2449.103,1426.628,2242.544,2590.124,1099.659,1144.73,718.598,2478.218,2363.859,1946.957,2522.536,1974.813
self_loop_proportion,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.001,0.004,0.001,0.0,0.0,0.0,0.004,0.004,0.002,0.002,0.0,0.0,0.0,0.005,0.006,0.0,0.0,0.007,0.005,0.002,0.004,0.0
street_density_km,10962.418,18915.237,18119.416,24335.618,14106.236,4785.202,18442.292,15515.016,16431.821,17608.518,14361.927,15147.567,14527.263,10856.687,17220.508,19110.714,19620.175,16091.14,14332.232,15980.197,18467.636,14650.479,13881.804,15121.238,13405.119,14822.833,14543.719,16513.262,3908.829,18598.664,16213.51,12298.856,18424.175,18188.161
street_length_avg,111.344,87.735,97.029,60.13,92.726,112.553,81.93,115.983,80.015,98.788,112.282,111.835,122.793,98.229,88.332,105.823,91.805,109.078,80.962,116.971,91.996,118.824,137.817,111.211,127.328,124.623,108.979,80.745,88.107,105.542,112.953,99.864,100.224,93.766
street_length_total,140961.63,56588.86,41237.345,8658.701,16876.099,4276.996,30805.779,67965.92,29765.584,16991.511,28744.106,54128.117,50713.49,101961.873,48229.256,83706.234,18728.312,37086.446,25260.171,54625.34,64948.862,53470.664,88340.888,27024.373,53986.906,55207.939,18308.503,21155.256,7312.906,105647.589,28464.18,43440.726,89700.754,70980.552
street_segments_count,1266.0,645.0,425.0,144.0,182.0,38.0,376.0,586.0,372.0,172.0,256.0,484.0,413.0,1038.0,546.0,791.0,204.0,340.0,312.0,467.0,706.0,450.0,641.0,243.0,424.0,443.0,168.0,262.0,83.0,1001.0,252.0,435.0,895.0,757.0
streets_per_node_avg,3.019,2.969,3.264,2.955,3.069,3.034,3.305,3.33,3.167,3.088,3.482,3.478,3.176,3.112,3.384,3.458,3.126,3.391,2.848,3.188,3.118,3.645,3.829,3.639,3.625,3.223,3.336,3.032,2.672,3.006,2.647,2.938,3.114,3.531
